,name,rating,prize
0,"Realme 5i (Forest Green, 64 GB)",4.4,"₹9,999"
1,"Realme 5i (Aqua Blue, 64 GB)",4.4,"₹9,999"
2,"Realme 5 (Crystal Blue, 32 GB)",4.5,"₹9,999"
3,"Realme 5 (Crystal Purple, 32 GB)",4.5,"₹9,999"
4,"'Vivo U10 (Electric Blue, 32 GB)'",4.4,"₹9,990"
5," 'Vivo Y91 (Nebula Purple, 32 GB)' ",4.4,"₹8,999"
6," 'Samsung Galaxy A10s (Black, 32 GB)' ",4.4,"₹8,980"
7," 'Redmi Note 7S (Onyx Black, 32 GB)' ",4.4,"₹9,999"
8," 'Motorola One Macro (Space Blue, 64 GB)' ",4.3,"₹9,499"
9," 'Motorola One Macro (Ultra Violet, 64 GB)'",4.3,"₹9,499"
10," 'Vivo Y12 (Aqua Blue, 64 GB)' ",4.4,"₹10,990"
11," 'Vivo Y12 (Burgundy Red, 64 GB)'",4.4,"₹10,990"
12," 'Vivo Y91 (Starry Black, 32 GB)' ",4.4,"₹8,999"
13," 'Realme 3 (Dynamic Black, 64 GB)' ",4.4,"₹9,499"
14," 'Samsung Galaxy A10s (Black, 32 GB)' ",4.3,"₹10,099"
15," 'Realme 3 (Radiant Blue, 64 GB)'",4.4,"₹9,499"
16," 'Honor 9N (Midnight Black, 128 GB)'",4.3,"₹9,499"
17," 'OPPO A5s (Blue, 32 GB)'",4.3,"₹8,990"
18," 'Vivo Y91i (Fusion Black, 16 GB)'",4.3,"₹7,990"
19," 'Lenovo K10 Note (Black, 64 GB)' ",4.2,"₹9,999"
20," 'Vivo U10 (Thunder Black, 32 GB)' ",4.4,"₹9,499"
21," 'OPPO A3s (Purple, 16 GB)' ",4.4,"₹7,490"
22," 'Redmi Y3 (Prime Black, 32 GB)' ",4.3,"₹9,290"
23," 'Moto G7 (Black, 64 GB)'",4.3,"₹9,999"
